iter	Logloss
0	0.6702178716
1	0.6495479591
2	0.6269989779
3	0.6083587808
4	0.5909070217
5	0.5758883857
6	0.5589158345
7	0.5470649061
8	0.5343685826
9	0.521737344
10	0.5096206254
11	0.4979646572
12	0.4879490016
13	0.4797895577
14	0.4670547785
15	0.4567726431
16	0.4495420067
17	0.4415031776
18	0.4331393912
19	0.424287407
20	0.4175477733
21	0.4103933903
22	0.4033820096
23	0.395882361
24	0.3898134063
25	0.3833427843
26	0.375015122
27	0.3691050012
28	0.3638082288
29	0.358165611
30	0.351375634
31	0.3454998381
32	0.3397284447
33	0.3342332485
34	0.3301101216
35	0.325092957
36	0.3199434743
37	0.316228235
38	0.3122798575
39	0.3079983606
40	0.3030584122
41	0.3002875546
42	0.296930372
43	0.2934089649
44	0.2898643301
45	0.2865803549
46	0.2829554825
47	0.2792798755
48	0.2762883119
49	0.2715471009
50	0.2686362214
51	0.2654545796
52	0.2625099754
53	0.258507657
54	0.2555772592
55	0.2531685577
56	0.2493462094
57	0.2466862447
58	0.2435089381
59	0.2402051582
60	0.2380931387
61	0.2358005832
62	0.232925702
63	0.2305498384
64	0.2277027783
65	0.2243482351
66	0.2219968941
67	0.219887367
68	0.2173945635
69	0.2154792516
70	0.21353586
71	0.2117182553
72	0.2100777139
73	0.208212392
74	0.206428917
75	0.205101997
76	0.2035115359
77	0.2016400072
78	0.1999425522
79	0.1983390777
80	0.1964855625
81	0.1950640877
82	0.1932887477
83	0.1921610309
84	0.1910172868
85	0.1896225338
86	0.1878706283
87	0.1862203753
88	0.1848856941
89	0.1830627386
90	0.1811012039
91	0.1800190326
92	0.1787498154
93	0.1773764477
94	0.1756561611
95	0.1743358249
96	0.1729422851
97	0.1713907406
98	0.1702169531
99	0.1689691307
100	0.1679518242
101	0.1667595612
102	0.1656197943
103	0.1644657867
104	0.1636688871
105	0.1624980857
106	0.1613136447
107	0.1599591136
108	0.1593154743
109	0.1580989026
110	0.1569395654
111	0.1554911583
112	0.1539581213
113	0.1521258122
114	0.1514053849
115	0.1499173925
116	0.1492350825
117	0.1485764539
118	0.1477555686
119	0.1465339075
120	0.1452750895
121	0.1445603513
122	0.1436357092
123	0.1430821133
124	0.1421911778
125	0.1412700929
126	0.1402757661
127	0.1390696214
128	0.1383379361
129	0.1377047017
130	0.1368092489
131	0.1361040915
132	0.1351184299
133	0.1343220408
134	0.1337058664
135	0.1331250831
136	0.132102472
137	0.1312269666
138	0.1301928641
139	0.1295156218
140	0.128798596
141	0.1281200351
142	0.1276631016
143	0.1269577836
144	0.1262888098
145	0.1253931281
146	0.124670242
147	0.124176676
148	0.1234926902
149	0.1226822167
150	0.1221059245
151	0.1215412788
152	0.1205159544
153	0.119945418
154	0.1194431901
155	0.1186892132
156	0.1179748288
157	0.1175314473
158	0.1167972691
159	0.1162280459
160	0.1157104849
161	0.1152510284
162	0.1144625369
163	0.1137966278
164	0.1133191954
165	0.1127068544
166	0.1122814758
167	0.1116783784
168	0.1109607063
169	0.1102073118
170	0.1097946599
171	0.1094025707
172	0.1088006338
173	0.1081043503
174	0.1074428822
175	0.1068381728
176	0.1061986509
177	0.1056329278
178	0.1048861111
179	0.1043627609
180	0.1036927892
181	0.1029663599
182	0.1026052733
183	0.1022434484
184	0.1015782577
185	0.1011548917
186	0.1006619884
187	0.1002311667
188	0.09988180843
189	0.09948744673
190	0.09908174823
191	0.0986248253
192	0.09837709867
193	0.09799886366
194	0.09725927695
195	0.09657557133
196	0.09601455543
197	0.09549082308
198	0.09495340931
199	0.09467894732
200	0.09418811189
201	0.0938211306
202	0.09325182174
203	0.0927894972
204	0.09251912458
205	0.09219274057
206	0.0919525793
207	0.09162385157
208	0.09125614111
209	0.09084440013
210	0.09041956002
211	0.08989793712
212	0.08944503629
213	0.08913193231
214	0.08880974227
215	0.08847198467
216	0.08787195069
217	0.08735491121
218	0.08679665543
219	0.08619356507
220	0.08578984236
221	0.08549159318
222	0.08504182428
223	0.08457091273
224	0.08406955007
225	0.08375188205
226	0.08331911599
227	0.08284024822
228	0.08243500424
229	0.08209523914
230	0.0817472062
231	0.08137631767
232	0.08103218935
233	0.08080379079
234	0.08061415798
235	0.08017755926
236	0.07989487513
237	0.07968618018
238	0.07928076085
239	0.07905474108
240	0.07881963247
241	0.07851637438
242	0.07808026064
243	0.07775328281
244	0.07740570589
245	0.07712274012
246	0.07675272008
247	0.07644572111
248	0.07602904972
249	0.07582388784
250	0.07558396656
251	0.07531881872
252	0.07485681011
253	0.07454497683
254	0.07428512898
255	0.07399665171
256	0.0736858387
257	0.07351432798
258	0.07325788392
259	0.07300883784
260	0.07275421927
261	0.07244180956
262	0.0720664479
263	0.07178627779
264	0.07146617668
265	0.07113945795
266	0.07090638549
267	0.0706414882
268	0.07033349837
269	0.07004954983
270	0.06972551372
271	0.06944249459
272	0.06919855574
273	0.06897884581
274	0.06882055028
275	0.06854259883
276	0.06831835708
277	0.06813611804
278	0.06795194163
279	0.06766912998
280	0.06745250923
281	0.06719399797
282	0.06700763984
283	0.06682018415
284	0.06653919183
285	0.06634891523
286	0.06611988962
287	0.06591556542
288	0.06576805777
289	0.06557067514
290	0.06531067762
291	0.06510995722
292	0.06486605967
293	0.06469567545
294	0.0644846665
295	0.06428491575
296	0.06412923038
297	0.06376300129
298	0.06340337226
299	0.06324764164
300	0.06308020849
301	0.06291711005
302	0.06273686405
303	0.0625067901
304	0.06218762766
305	0.06188746949
306	0.06174853989
307	0.06138829188
308	0.06126473352
309	0.0610498034
310	0.06089389634
311	0.06070427503
312	0.06051694182
313	0.06035235742
314	0.06009220853
315	0.05983129359
316	0.05958503824
317	0.05937840345
318	0.05923781128
319	0.05911763375
320	0.05892849202
321	0.05880129577
322	0.05858479533
323	0.05841769758
324	0.058212581
325	0.05795206582
326	0.05763959526
327	0.05743486746
328	0.05727183356
329	0.05704280524
330	0.0568093707
331	0.0565665514
332	0.05641576395
333	0.05632201414
334	0.05603366668
335	0.05579277066
336	0.05551791392
337	0.05523097069
338	0.05510732274
339	0.05491202465
340	0.05469871194
341	0.05451695728
342	0.05424818322
343	0.05401351906
344	0.05376324816
345	0.05361422775
346	0.0534670779
347	0.05333155659
348	0.05308173138
349	0.05291374135
350	0.05268939988
351	0.05248396234
352	0.05233253527
353	0.05220370965
354	0.05191243566
355	0.05180932594
356	0.05163015926
357	0.05148203236
358	0.05139265558
359	0.05120679467
360	0.05107723329
361	0.0508413656
362	0.05060012265
363	0.05046528962
364	0.05031138989
365	0.05021015494
366	0.0500706293
367	0.04988683053
368	0.04966218089
369	0.04944059447
370	0.04924382875
371	0.04907805023
372	0.04892277443
373	0.04884840159
374	0.04872028262
375	0.04845860387
376	0.04833645785
377	0.04823979436
378	0.04812733922
379	0.04797599728
380	0.04786169954
381	0.04755949205
382	0.04737917564
383	0.0471556371
384	0.04699728669
385	0.04687115221
386	0.04677108971
387	0.04660699988
388	0.0464231238
389	0.0462298781
390	0.04605496117
391	0.0458833655
392	0.04566495406
393	0.04556234543
394	0.04547752737
395	0.04533497474
396	0.04516980247
397	0.04500661608
398	0.04473074339
399	0.04456136597
400	0.04436102224
401	0.04422431025
402	0.04409542318
403	0.04400060409
404	0.04385669264
405	0.04375405842
406	0.04357665028
407	0.04348330971
408	0.04326960665
409	0.04312878055
410	0.04300366297
411	0.04280103675
412	0.04270364545
413	0.04257743215
414	0.04242156401
415	0.04234101668
416	0.04218438797
417	0.04204613918
418	0.04190847871
419	0.04179427307
420	0.0416371205
421	0.04149250103
422	0.04134685295
423	0.04117545901
424	0.04099416313
425	0.04090338382
426	0.04072002468
427	0.04064459302
428	0.0405954924
429	0.0403962121
430	0.0402954704
431	0.04011104463
432	0.03999391527
433	0.03990223274
434	0.0397821301
435	0.03968615044
436	0.03954585193
437	0.03947129705
438	0.03926010392
439	0.03910405371
440	0.03895353885
441	0.03885839289
442	0.03875633519
443	0.03863637318
444	0.03851629666
445	0.03837481993
446	0.03827374547
447	0.0380870195
448	0.037901429
449	0.03779854542
450	0.03770181291
451	0.03757447473
452	0.03741175093
453	0.03726981676
454	0.03710864765
455	0.03694693923
456	0.03682262266
457	0.03669469839
458	0.03661481043
459	0.036493119
460	0.03637517388
461	0.03627523518
462	0.03613819207
463	0.03605313095
464	0.03591019543
465	0.0357551648
466	0.03564406589
467	0.03557086053
468	0.0354464373
469	0.0353296898
470	0.03517042342
471	0.0349990396
472	0.03484512298
473	0.03473958847
474	0.03465697765
475	0.0345763817
476	0.03443116441
477	0.03432800896
478	0.03423011085
479	0.03415682223
480	0.03408061195
481	0.03401070515
482	0.03395639756
483	0.03386407119
484	0.03375993489
485	0.03367413908
486	0.03350985489
487	0.03340755539
488	0.03325761307
489	0.0331400116
490	0.03305657446
491	0.03298118943
492	0.0328982112
493	0.03277252852
494	0.03265875584
495	0.03257995806
496	0.03245804129
497	0.03239731402
498	0.03221609594
499	0.03206075272
500	0.03193487385
501	0.03179016078
502	0.03168907454
503	0.031545184
504	0.03143766615
505	0.0313607439
506	0.03124907311
507	0.03117162723
508	0.03111785203
509	0.03102583118
510	0.03096183451
511	0.03084223733
512	0.03073717725
513	0.03066921705
514	0.03056182969
515	0.03050141323
516	0.03039397498
517	0.03030501814
518	0.03024101739
519	0.03016159881
520	0.03008000816
521	0.03002234243
522	0.02994684002
523	0.02987689108
524	0.02985072734
525	0.02973469029
526	0.02964517598
527	0.02954779093
528	0.02942760119
529	0.02933869914
530	0.02930263368
531	0.02922167234
532	0.02915271302
533	0.02908962634
534	0.02902232128
535	0.02895601521
536	0.02890476111
537	0.02878515828
538	0.02870678581
539	0.02866215723
540	0.02857309478
541	0.02843931477
542	0.02835358199
543	0.0282500206
544	0.02809323886
545	0.02795848674
546	0.02789491845
547	0.02781003235
548	0.0277531049
549	0.0276893255
550	0.02761682903
551	0.02758481833
552	0.02749676275
553	0.02741122853
554	0.02733054567
555	0.02725253592
556	0.02717668744
557	0.02710349076
558	0.02703549352
559	0.02694016725
560	0.02686482017
561	0.02672868187
562	0.02666076242
563	0.02659309027
564	0.02653788016
565	0.02646150165
566	0.02639940723
567	0.02632938742
568	0.0262483714
569	0.02610724302
570	0.02601743991
571	0.02595218941
572	0.02588177195
573	0.02583185495
574	0.02576010796
575	0.02569066197
576	0.02561658989
577	0.02552668444
578	0.02547710925
579	0.02540469947
580	0.02536252798
581	0.02525768672
582	0.02515878141
583	0.02511854982
584	0.0250443549
585	0.02497796409
586	0.02491551449
587	0.02484151815
588	0.0248108058
589	0.02474122398
590	0.02469037675
591	0.02465308126
592	0.02455853079
593	0.02450640283
594	0.0244698483
595	0.02440601333
596	0.02432761949
597	0.02426447981
598	0.02416721896
599	0.02406551981
600	0.02401596405
601	0.02396528253
602	0.0239393044
603	0.02386483128
604	0.02380958315
605	0.02376466473
606	0.02368539261
607	0.0236545464
608	0.02357505819
609	0.02351231431
610	0.02347474669
611	0.02344890656
612	0.02339450829
613	0.02329612948
614	0.02324186498
615	0.02313088401
616	0.02307230137
617	0.02299222743
618	0.02293795554
619	0.02287419856
620	0.02282582999
621	0.02272346479
622	0.02264939737
623	0.02260732944
624	0.02254280198
625	0.02246364702
626	0.02244224002
627	0.02240369171
628	0.02233110218
629	0.02228626777
630	0.02220781433
631	0.02214702983
632	0.02210721995
633	0.02199372648
634	0.02191665943
635	0.02184238144
636	0.02178589306
637	0.02173491981
638	0.0217165587
639	0.02169394505
640	0.02165759061
641	0.02160460349
642	0.02151062291
643	0.02145449772
644	0.02140160046
645	0.02136843019
646	0.02132173733
647	0.02122321771
648	0.02117204407
649	0.02112774834
650	0.02107744666
651	0.02100981675
652	0.02095407574
653	0.02089573644
654	0.02085211887
655	0.02078612017
656	0.0207136716
657	0.02065424937
658	0.02061938528
659	0.02057299736
660	0.02050916338
661	0.02045718581
662	0.02039164143
663	0.02034987902
664	0.02030558456
665	0.02025005999
666	0.02018200486
667	0.0201478486
668	0.02011553933
669	0.02006180533
670	0.02002697222
671	0.01998765454
672	0.01992745412
673	0.01989334193
674	0.01983942851
675	0.01977476397
676	0.01969677266
677	0.01960866693
678	0.0195845391
679	0.01954156804
680	0.01947186055
681	0.01940929674
