iter	Passed	Remaining
412	2832	4025
413	2837	4015
414	2842	4006
415	2847	3997
416	2853	3988
417	2858	3980
418	2863	3971
419	2868	3961
420	2874	3952
421	2879	3943
422	2884	3934
423	2889	3924
424	2894	3916
425	2900	3907
426	2905	3898
427	2910	3889
428	2915	3880
429	2920	3871
430	2925	3862
431	2930	3853
432	2935	3844
433	2940	3835
434	2945	3826
435	2950	3816
436	2955	3808
437	2960	3798
438	2965	3789
439	2970	3780
440	2975	3771
441	2980	3762
442	2985	3753
443	2990	3744
444	2995	3735
445	3001	3727
446	3007	3720
447	3012	3711
448	3017	3703
449	3022	3694
450	3027	3685
451	3033	3677
452	3039	3669
453	3045	3662
454	3050	3654
455	3056	3646
456	3062	3639
457	3068	3630
458	3073	3622
459	3078	3613
460	3083	3604
461	3088	3596
462	3093	3587
463	3097	3578
464	3102	3570
465	3109	3562
466	3114	3554
467	3119	3546
468	3124	3537
469	3129	3528
470	3134	3520
471	3139	3511
472	3144	3503
473	3148	3494
474	3153	3485
475	3158	3477
476	3163	3468
477	3168	3460
478	3173	3451
479	3178	3443
480	3183	3434
481	3188	3426
482	3192	3417
483	3197	3409
484	3203	3401
485	3207	3392
486	3213	3385
487	3219	3378
488	3224	3370
489	3230	3361
490	3235	3353
491	3239	3345
492	3244	3337
493	3249	3328
494	3254	3320
495	3259	3311
496	3264	3303
497	3269	3295
498	3274	3287
499	3278	3278
500	3283	3270
501	3288	3262
502	3293	3254
503	3298	3246
504	3303	3237
505	3308	3229
506	3313	3221
507	3318	3213
508	3324	3207
509	3330	3200
510	3336	3193
511	3341	3185
512	3346	3177
513	3351	3169
514	3356	3161
515	3361	3153
516	3366	3145
517	3371	3137
518	3376	3129
519	3381	3121
520	3386	3113
521	3391	3105
522	3396	3097
523	3402	3090
524	3407	3082
525	3412	3074
526	3417	3067
527	3422	3059
528	3429	3053
529	3435	3046
530	3441	3039
531	3447	3032
532	3452	3025
533	3458	3017
534	3463	3010
535	3468	3002
536	3474	2995
537	3480	2989
538	3487	2982
539	3492	2975
540	3498	2967
541	3503	2960
542	3508	2952
543	3513	2945
544	3520	2938
545	3526	2932
546	3532	2925
547	3539	2919
548	3546	2913
549	3552	2906
550	3558	2899
551	3564	2892
552	3570	2886
553	3580	2882
554	3588	2877
555	3597	2872
556	3605	2867
557	3615	2864
558	3624	2859
559	3635	2856
560	3645	2852
561	3654	2848
562	3664	2844
563	3673	2839
564	3680	2833
565	3686	2826
566	3692	2819
567	3697	2812
568	3705	2806
569	3716	2803
570	3722	2796
571	3727	2789
572	3733	2782
573	3740	2775
574	3746	2768
575	3751	2761
576	3758	2755
577	3781	2760
578	3788	2754
579	3795	2748
580	3802	2742
581	3808	2735
582	3814	2728
583	3822	2722
584	3831	2718
585	3838	2711
586	3845	2705
587	3851	2698
588	3858	2692
589	3869	2689
590	3879	2684
591	3886	2678
592	3894	2672
593	3903	2667
594	3911	2662
595	3920	2657
596	3926	2650
597	3934	2645
598	3943	2639
599	3949	2632
600	3954	2625
601	3960	2618
602	3966	2611
603	3973	2605
604	3983	2600
605	3992	2596
606	3999	2589
607	4006	2583
608	4014	2577
609	4021	2570
610	4027	2564
611	4036	2559
612	4044	2553
613	4052	2547
614	4059	2541
615	4066	2534
616	4072	2527
617	4079	2521
618	4088	2516
619	4094	2509
620	4101	2503
621	4110	2498
622	4118	2492
623	4124	2485
624	4130	2478
625	4135	2470
626	4141	2463
627	4151	2459
628	4158	2452
629	4164	2445
630	4170	2438
631	4175	2431
632	4181	2424
633	4190	2419
634	4198	2413
635	4204	2406
636	4211	2399
637	4218	2393
638	4223	2386
639	4229	2379
640	4235	2372
641	4240	2364
642	4246	2357
643	4252	2350
644	4260	2344
645	4268	2339
646	4274	2332
647	4280	2325
648	4285	2317
649	4292	2311
650	4300	2305
651	4308	2299
652	4314	2292
653	4321	2286
654	4328	2279
655	4336	2274
656	4344	2267
657	4350	2261
658	4356	2254
659	4362	2247
660	4368	2240
661	4374	2233
662	4380	2226
663	4386	2219
664	4392	2212
665	4400	2206
666	4406	2199
667	4412	2193
668	4418	2185
669	4424	2179
670	4429	2171
671	4435	2164
672	4440	2157
673	4445	2150
674	4451	2143
675	4457	2136
676	4463	2129
677	4469	2122
678	4474	2115
679	4480	2108
680	4485	2101
681	4492	2094
682	4504	2090
683	4510	2083
684	4517	2077
685	4522	2070
686	4528	2063
687	4535	2056
688	4540	2049
689	4546	2042
690	4551	2035
691	4556	2028
692	4563	2021
693	4569	2014
694	4574	2007
695	4580	2000
696	4585	1993
697	4590	1986
698	4596	1979
699	4602	1972
700	4608	1965
701	4615	1959
702	4620	1951
703	4625	1944
704	4631	1937
705	4636	1930
706	4642	1923
707	4648	1917
708	4653	1910
709	4659	1902
710	4664	1895
711	4670	1889
712	4675	1882
713	4681	1875
714	4686	1868
715	4692	1861
716	4697	1854
717	4703	1847
718	4710	1840
719	4716	1834
720	4723	1827
721	4729	1821
722	4735	1814
723	4741	1807
724	4747	1800
725	4752	1793
726	4757	1786
727	4764	1779
728	4771	1773
729	4779	1767
730	4785	1761
731	4791	1754
732	4797	1747
733	4804	1741
734	4814	1735
735	4821	1729
736	4828	1723
737	4838	1717
738	4847	1711
739	4856	1706
740	4865	1700
741	4874	1694
742	4884	1689
743	4893	1683
744	4903	1678
745	4913	1673
746	4924	1667
747	4933	1662
748	4944	1656
749	4955	1651
750	4962	1645
751	4971	1639
752	4980	1633
753	4988	1627
754	4998	1622
755	5005	1615
756	5015	1609
757	5024	1604
758	5031	1597
759	5041	1591
760	5048	1585
761	5056	1579
762	5065	1573
763	5072	1566
764	5080	1560
765	5089	1554
766	5097	1548
767	5106	1542
768	5115	1536
769	5122	1530
770	5130	1523
771	5140	1518
772	5148	1511
773	5155	1505
774	5164	1499
775	5171	1492
776	5179	1486
777	5188	1480
778	5195	1473
779	5204	1468
780	5214	1462
781	5220	1455
782	5229	1449
783	5238	1443
784	5245	1436
785	5253	1430
786	5262	1424
787	5269	1417
788	5277	1411
789	5286	1405
790	5294	1398
791	5301	1392
792	5311	1386
793	5318	1379
794	5326	1373
795	5335	1367
796	5343	1361
797	5351	1354
798	5360	1348
799	5368	1342
800	5377	1336
801	5386	1329
802	5393	1323
803	5403	1317
804	5410	1310
805	5419	1304
806	5428	1298
807	5437	1292
808	5445	1285
809	5455	1279
810	5462	1272
811	5472	1267
812	5479	1260
813	5487	1253
814	5498	1248
815	5504	1241
816	5514	1235
817	5522	1228
818	5530	1222
819	5538	1215
820	5546	1209
821	5554	1202
822	5561	1196
823	5571	1190
824	5579	1183
825	5587	1177
826	5595	1170
827	5604	1164
828	5612	1157
829	5619	1151
830	5629	1144
831	5637	1138
832	5645	1131
833	5653	1125
834	5662	1118
835	5670	1112
836	5678	1105
837	5686	1099
838	5694	1092
839	5703	1086
840	5713	1080
841	5722	1073
842	5730	1067
843	5741	1061
844	5760	1056
845	5768	1050
846	5777	1043
847	5785	1036
848	5794	1030
849	5802	1023
850	5810	1017
851	5819	1010
852	5829	1004
853	5839	998
854	5849	992
855	5860	985
856	5869	979
857	5879	973
858	5888	966
859	5896	959
860	5905	953
861	5914	946
862	5925	940
863	5934	934
864	5943	927
865	5953	921
866	5963	914
867	5971	908
868	5981	901
869	5990	895
870	5999	888
871	6008	881
872	6017	875
873	6027	868
874	6035	862
875	6044	855
876	6053	849
877	6063	842
878	6071	835
879	6080	829
880	6090	822
881	6098	815
882	6107	809
883	6116	802
884	6125	796
885	6134	789
886	6142	782
887	6150	775
888	6157	768
889	6166	762
890	6175	755
891	6183	748
892	6193	742
893	6202	735
894	6210	728
895	6220	722
896	6230	715
897	6238	708
898	6247	701
899	6256	695
900	6264	688
901	6273	681
902	6284	675
903	6291	668
904	6298	661
905	6307	654
906	6316	647
907	6324	640
908	6332	633
909	6342	627
910	6352	620
911	6360	613
912	6369	606
913	6377	600
914	6386	593
915	6396	586
916	6404	579
917	6412	572
918	6420	565
919	6427	558
920	6436	552
921	6444	545
922	6453	538
923	6461	531
924	6469	524
925	6477	517
926	6486	510
927	6493	503
928	6502	496
929	6511	490
930	6520	483
931	6529	476
932	6537	469
933	6546	462
934	6554	455
935	6562	448
936	6570	441
937	6579	434
938	6587	427
939	6596	421
940	6604	414
941	6612	407
942	6621	400
943	6629	393
944	6635	386
945	6641	379
946	6648	372
947	6655	365
948	6663	358
949	6670	351
950	6677	344
951	6684	337
952	6690	329
953	6700	323
954	6707	316
955	6715	309
956	6722	302
957	6728	294
958	6733	287
959	6738	280
960	6743	273
961	6749	266
962	6758	259
963	6764	252
964	6770	245
965	6775	238
966	6780	231
967	6786	224
968	6791	217
969	6797	210
970	6806	203
971	6812	196
972	6818	189
973	6823	182
974	6828	175
975	6834	168
976	6839	161
977	6844	153
978	6850	146
979	6855	139
980	6860	132
981	6865	125
982	6870	118
983	6875	111
984	6881	104
985	6886	97
986	6892	90
987	6897	83
988	6903	76
989	6908	69
990	6913	62
991	6919	55
992	6925	48
993	6930	41
994	6935	34
995	6941	27
996	6947	20
997	6955	13
998	6965	6
999	6972	0
